,Dis,Dif,Gues
0,1.448,3.144,0.0
1,1.288,0.115,0.0
2,1.453,2.674,0.0
3,-1.567,1.988,0.593
4,-1.675,1.759,0.624
5,-1.322,2.971,0.286
6,1.103,0.406,0.0
7,-44.452,0.289,0.858
8,-64.301,0.719,0.0
9,1.27,-0.102,0.0
10,1.148,2.309,0.0
11,-90.49799999999999,-0.8075,0.304
12,-7.484,0.229,0.907
13,-90.49799999999999,0.699,0.0
14,1.012,-0.617,0.0
15,1.517,0.961,0.0
16,1.517,0.703,0.0
17,-1.44,2.875,0.151
18,-1.375,3.307,0.095
19,-2.954,0.674,0.0
20,-7.28,3.307,0.0
21,1.4,3.307,0.0
22,-1.634,0.973,0.0
23,-7.264,3.307,0.0
24,-5.501,0.35,0.895
25,-3.95,-0.8075,0.645
26,-90.49799999999999,-0.011,0.522
27,-1.479,3.302,0.068
28,-49.927,0.682,0.0
29,-90.49799999999999,-0.8075,0.521
30,-37.238,0.705,0.0
31,-90.49799999999999,0.268,0.795
32,-74.776,0.032,0.757
33,1.517,0.217,0.0
34,1.255,1.288,0.0
35,-90.315,0.698,0.0
36,-90.49799999999999,-0.009,0.674
37,1.118,-0.8075,0.0
38,1.439,3.174,0.0
39,-81.327,0.001,0.758
40,1.517,0.7,0.0
41,1.517,0.714,0.0
42,-90.49799999999999,0.695,0.0
43,-82.744,0.693,0.0
44,-2.549,0.815,0.856
45,-1.676,1.748,0.649
46,1.517,0.724,0.0
47,-2.814,0.721,0.878
48,-83.106,-0.8075,0.281
49,-1.407,3.204,0.087
50,-5.697,0.277,0.921
51,-1.919,0.653,0.0
52,-1.452,3.307,0.055
53,1.517,-0.047,0.0
54,-2.945,2.136,0.068
55,1.517,0.946,0.0
56,1.412,3.307,0.0
57,-30.517,0.22,0.891
58,-29.968,-0.8075,0.63
59,-90.49799999999999,-0.082,0.394
60,-13.499,0.278,0.901
61,-16.926,0.842,0.332
62,1.517,1.797,0.0
63,-1.315,0.578,0.0
64,0.049,-0.8075,0.122
65,-1.376,3.307,0.1
66,-0.782,1.178,0.0
67,-1.394,3.307,0.066
68,1.517,-0.02,0.0
69,-1.371,3.307,0.056
70,-1.343,3.187,0.141
71,-2.481,0.766,0.0
72,-9.021,0.189,0.779
73,1.019,3.171,0.0
74,-64.376,0.721,0.058
75,1.464,3.097,0.0
76,0.96,1.734,0.0
77,-5.251,1.067,0.0
78,-1.265,-0.638,0.475
79,-0.162,-0.8075,0.0
80,-1.31,3.029,0.278
81,-66.449,-0.8075,0.67
82,-4.297,1.163,0.0
83,-0.754,-0.119,0.0
84,-1.932,-0.8075,0.289
85,-3.265,-0.044,0.419
86,-90.49799999999999,0.705,0.0
87,-90.49799999999999,-0.287,0.348
88,-66.363,-0.7,0.156
89,-1.404,3.307,0.053
90,-1.476,3.013,0.09
91,0.886,-0.015,0.0
92,-80.153,0.701,0.0
93,-6.557,0.955,0.0
94,-35.496,0.292,0.874
95,-2.752,0.935,0.824
