,Dis,Dif,Gues
0,1.467,-0.023,0.0
1,-3.448,1.013,0.112
2,-5.188,0.811,0.077
3,-18.636,0.781,0.087
4,-18.83,0.767,0.073
5,-10.569,-0.5594,0.75
6,3.225100000000004,0.0,0.147
7,-17.749,0.805,0.073
8,3.225100000000004,0.761,0.0
9,-20.6739,-0.272,0.214
10,-17.619,0.806,0.069
11,-20.6739,0.719,0.096
12,-3.118,-0.5594,0.249
13,-19.412,-0.5594,0.435
14,-18.846,0.82,0.085
15,1.608,-0.206,0.0
16,2.059,0.96,0.0
17,-19.67,0.762,0.093
18,3.225100000000004,0.834,0.0
19,-3.063,1.398,0.085
20,-19.559,0.751,0.082
21,-20.6739,0.758,0.088
22,-1.465,-0.019,0.009
23,-1.012,1.7776000000000036,0.204
24,-3.476,1.22,0.092
25,-19.155,0.778,0.094
26,-1.008,1.7776000000000036,0.205
27,-1.005,1.7776000000000036,0.206
28,-20.6739,-0.435,0.624
29,-1.002,1.7776000000000036,0.207
30,-0.998,1.7776000000000036,0.209
31,-20.6739,-0.5594,0.345
32,-16.683,0.84,0.068
33,-18.209,0.801,0.086
34,1.488,1.117,0.0
35,-15.521,0.826,0.057
36,-15.12,0.857,0.057
37,-18.865,0.767,0.075
38,-10.327,0.939,0.049
39,-6.634,0.616,0.121
40,1.933,1.7776000000000036,0.0
41,-5.329,-0.16,0.85
42,-6.496,0.63,0.142
43,1.398,1.379,0.0
44,-17.203,0.834,0.078
45,-14.195,-0.544,0.832
46,-16.795,-0.5594,0.246
47,-17.162,0.776,0.057
48,-1.632,1.339,0.027
49,-2.232,0.693,0.0
50,3.225100000000004,1.005,0.0
51,3.225100000000004,0.661,0.0
52,-20.6739,0.684,0.084
53,-2.479,0.684,0.003
54,3.225100000000004,0.739,0.0
55,-13.374,0.881,0.054
56,-0.995,1.7776000000000036,0.21
57,-16.13,0.845,0.06
58,-6.166,-0.5594,0.404
59,-18.54,0.798,0.094
60,-4.728,0.603,0.265
61,-8.529,1.062,0.198
62,-20.6739,0.698,0.083
63,-12.258,0.959,0.054
64,2.739,0.361,0.0
65,-5.082,-0.33,0.204
66,-20.6739,-0.5594,0.372
67,-14.627,0.913,0.062
68,-13.379,0.881,0.054
69,-2.161,-0.5594,0.132
70,-2.64,1.371,0.104
71,-2.049,1.301,0.036
72,-0.988,1.7776000000000036,0.212
73,-0.985,1.7776000000000036,0.214
74,-5.467,0.751,0.104
75,-0.529,1.632,0.013
76,-2.293,1.094,0.298
77,-15.471,0.899,0.071
78,-16.5,0.794,0.056
79,-15.278,0.902,0.066
80,-14.627,0.913,0.062
81,-16.741,0.813,0.06
82,-2.393,0.849,0.253
83,-20.6739,-0.065,0.491
84,3.225100000000004,0.803,0.0
85,-19.064,0.765,0.079
86,-1.475,1.7776000000000036,0.121
87,-3.304,-0.5594,0.382
88,-15.353,0.901,0.067
89,-8.547,1.061,0.201
90,0.853,0.943,0.0
91,-15.353,0.901,0.068
92,-14.777,0.91,0.063
93,-3.37,-0.5594,0.301
94,-20.648,0.77,0.098
95,-20.6739,-0.294,0.684
96,-8.539,1.061,0.202
97,3.225100000000004,0.768,0.204
98,2.238,0.416,0.0
99,3.225100000000004,1.26,0.0
100,3.225100000000004,0.803,0.772
101,-3.599,0.082,0.307
102,-20.6739,0.743,0.099
103,-14.03,0.923,0.058
104,-3.777,-0.066,0.844
105,-14.627,0.913,0.063
106,2.446,0.137,0.0
107,-16.94,0.812,0.064
108,-20.6739,-0.309,0.657
109,3.225100000000004,0.746,0.0
110,-17.145,0.835,0.077
111,-0.974,1.7776000000000036,0.218
112,-0.971,1.7776000000000036,0.219
113,1.89,1.406,0.0
114,-1.632,1.7776000000000036,0.101
115,1.5,0.28,0.0
116,-3.845,-0.5594,0.594
117,-19.795,0.045,0.556
118,-15.471,0.899,0.072
119,3.225100000000004,0.724,0.0
120,3.225100000000004,0.659,0.0
121,-0.967,1.7776000000000036,0.22
122,-18.26,0.784,0.071
123,3.225100000000004,-0.5594,0.0
124,-20.6739,-0.5594,0.263
125,-19.207,0.753,0.081
126,1.186,-0.245,0.0
127,3.225100000000004,1.144,0.0
128,3.225100000000004,0.828,0.157
129,-18.169,0.802,0.079
130,-19.154,0.778,0.092
131,-3.47,1.22,0.092
132,-6.492,0.63,0.143
133,-17.214,0.834,0.079
134,-6.824,0.588,0.182
135,2.986,-0.23,0.0
136,-5.576,0.233,0.66
137,-18.397,0.783,0.079
138,-18.562,0.823,0.073
139,-1.857,1.429,0.241
140,-15.98,0.068,0.586
141,-18.214,0.784,0.08
142,-16.823,0.838,0.069
143,-20.6739,0.001,0.531
144,-1.163,1.7776000000000036,0.073
145,3.225100000000004,0.983,0.0
146,3.225100000000004,0.515,0.0
147,-4.619,0.897,0.1
148,-7.051,0.574,0.182
149,-2.175,0.273,0.391
150,1.39,-0.5594,0.0
151,2.325,0.161,0.0
152,-3.448,1.013,0.116
153,-5.743,0.403,0.36
154,3.225100000000004,0.723,0.006
155,-3.143,0.824,0.304
156,-17.778,0.805,0.074
157,-20.6739,-0.5594,0.587
158,-1.164,-0.5594,0.0
159,1.028,0.796,0.0
160,1.12,1.204,0.0
161,-2.483,0.79,0.016
162,-17.179,0.834,0.084
163,-15.278,0.902,0.067
164,-19.916,-0.5594,0.298
165,-18.914,0.779,0.085
166,-19.04,0.778,0.089
167,-20.6739,0.737,0.097
168,3.069,1.422,0.0
169,-14.399,0.916,0.059
170,-20.6739,0.676,0.075
171,-20.6739,-0.5594,0.234
172,-17.57,0.806,0.07
173,-18.809,-0.203,0.843
174,-20.6739,0.744,0.097
175,-1.016,0.55,0.0
176,1.617,1.383,0.0
177,-0.812,1.7776000000000036,0.076
178,-19.353,0.794,0.092
179,-15.113,-0.276,0.822
180,-20.6739,0.747,0.089
181,-10.897,-0.5594,0.809
182,-17.885,0.804,0.075
183,-19.259,0.034,0.531
184,-9.883,0.119,0.495
185,-2.867,-0.5594,0.302
186,-0.499,1.7776000000000036,0.093
187,-17.357,0.832,0.086
188,-18.434,0.799,0.091
189,2.457,0.306,0.0
190,-16.446,-0.529,0.418
191,-0.264,1.7776000000000036,0.046
192,-0.963,1.7776000000000036,0.222
193,-18.478,0.782,0.077
194,-18.677,0.781,0.086
195,2.911,1.119,0.0
196,-3.567,-0.047,0.368
197,3.225100000000004,1.7776000000000036,0.0
198,-8.548,1.06,0.208
199,-15.178,0.904,0.065
200,2.885,0.214,0.0
201,-20.6739,-0.5594,0.184
202,3.225100000000004,0.746,0.0
203,-1.232,1.7776000000000036,0.017
