,Dis,Dif,Gues
0,1.601,-0.029,0.032
1,15.7345,-0.703,0.08
2,6.563,-0.642,0.077
3,15.7345,-0.726,0.083
4,13.231,-0.847,0.062
5,2.822,-0.448,0.004
6,8.049,0.5564000000000013,0.6
7,8.311,-1.075,0.135
8,-3.0337,-0.846,0.0
9,0.681,0.5564000000000013,0.007
10,1.046,-2.3297999999999996,0.139
11,3.565,-1.006,0.088
12,0.175,0.5564000000000013,0.002
13,15.7345,0.374,0.512
14,8.629,-0.949,0.055
15,-2.151,0.202,0.0
16,-1.675,-1.059,0.0
17,15.7345,-0.797,0.074
18,-3.0337,-1.023,0.0
19,2.098,-0.705,0.334
20,3.509,-1.218,0.083
21,15.7345,-0.763,0.075
22,13.374,0.5564000000000013,0.584
23,0.789,-2.3297999999999996,0.077
24,9.281,-0.831,0.085
25,1.044,-2.3297999999999996,0.139
26,10.204,-1.012,0.058
27,7.338,-1.144,0.051
28,11.813,0.5564000000000013,0.574
29,0.783,-2.3297999999999996,0.067
30,14.241,-0.834,0.071
31,0.515,0.5564000000000013,0.0
32,13.637,-0.873,0.068
33,7.857,-0.919,0.079
34,-2.131,-0.811,0.0
35,13.73,-0.792,0.059
36,14.82,-0.828,0.069
37,13.879,-0.869,0.071
38,15.7345,-0.774,0.076
39,2.271,-1.46,0.091
40,-3.0337,-0.703,0.0
41,1.128,-2.25,0.128
42,5.598,-0.63,0.102
43,-2.452,-0.961,0.0
44,5.716,-1.28,0.062
45,2.199,-1.059,0.169
46,-1.63,-0.695,0.0
47,2.992,-1.21,0.083
48,4.537,-0.558,0.144
49,4.403,-0.478,0.178
50,-3.0337,-0.74,0.0
51,-1.744,-1.498,0.0
52,2.56,-1.166,0.107
53,6.111,-0.227,0.433
54,-3.0337,-0.82,0.0
55,7.877,-0.919,0.073
56,1.041,-2.3297999999999996,0.14
57,6.845,-1.063,0.066
58,-3.0337,-0.56,0.621
59,12.222,-0.895,0.059
60,4.213,-0.657,0.11
61,14.274,-0.81,0.071
62,2.912,-1.001,0.109
63,15.455,-0.8,0.088
64,-0.568,-1.509,0.0
65,15.731,0.481,0.383
66,15.7345,0.5564000000000013,0.436
67,1.934,-2.3297999999999996,0.059
68,9.184,-0.94,0.053
69,-0.237,-1.526,0.02
70,15.7345,-0.818,0.083
71,3.026,-0.922,0.043
72,1.038,-2.3297999999999996,0.141
73,11.272,-0.98,0.063
74,4.93,-0.848,0.089
75,-1.068,-0.069,0.0
76,4.226,-0.524,0.198
77,13.184,-0.879,0.071
78,13.956,-0.868,0.07
79,14.477,-0.832,0.065
80,5.716,-1.28,0.063
81,15.167,-0.801,0.071
82,3.907,-0.393,0.409
83,15.7345,0.5564000000000013,0.57
84,-3.0337,-1.096,0.0
85,15.7345,-0.664,0.042
86,2.556,-1.256,0.096
87,0.707,0.084,0.012
88,9.246,-1.047,0.054
89,1.035,-2.3297999999999996,0.142
90,2.094,0.122,0.005
91,1.033,-2.3297999999999996,0.142
92,3.091,-1.389,0.08
93,-0.567,-1.132,0.0
94,14.393,-0.862,0.079
95,3.206,-0.228,0.142
96,9.939,-0.932,0.144
97,-3.0337,-0.879,0.0
98,-2.824,-0.349,0.0
99,-3.0337,-0.633,0.0
100,-1.924,0.157,0.0
101,3.223,0.5564000000000013,0.691
102,1.911,-2.3297999999999996,0.07
103,15.7345,-0.742,0.084
104,1.009,-2.3297999999999996,0.1
105,2.667,-1.381,0.086
106,-1.127,-0.198,0.0
107,8.335,-0.633,0.077
108,15.7345,0.336,0.655
109,-3.0337,-0.76,0.0
110,1.027,-2.3297999999999996,0.144
111,1.024,-2.3297999999999996,0.145
112,2.358,-1.578,0.074
113,-2.69,-1.688,0.0
114,-1.409,0.5564000000000013,0.0
115,-1.435,0.215,0.0
116,0.19,-2.3297999999999996,0.084
117,7.146,0.037,0.695
