,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,no checking,13,critical/other existing credit,business,1143.0,<100,>=7,4,female div/dep/mar,none,3,car,20,none,rent,2,skilled,2,none,no,bad
1,no checking,53,no credits/all paid,radio/tv,7161.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,21,none,rent,2,skilled,2,none,no,bad
2,<0,51,critical/other existing credit,new car,3254.0,<100,1<=X<4,2,female div/dep/mar,none,4,car,27,none,rent,2,skilled,2,none,no,bad
3,no checking,13,critical/other existing credit,used car,2203.0,<100,>=7,4,female div/dep/mar,none,2,real estate,20,none,rent,2,skilled,2,none,no,bad
4,<0,27,critical/other existing credit,new car,4545.0,<100,>=7,4,female div/dep/mar,none,4,life insurance,46,none,for free,2,skilled,2,none,no,bad
5,0<=X<200,21,delayed previously,new car,3242.0,<100,>=7,1,female div/dep/mar,none,1,life insurance,36,none,rent,3,skilled,2,none,no,bad
6,no checking,7,all paid,repairs,966.0,<100,4<=X<7,1,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,bad
7,<0,15,critical/other existing credit,radio/tv,4040.0,<100,4<=X<7,4,female div/dep/mar,none,4,life insurance,30,none,for free,2,skilled,2,none,no,good
8,no checking,25,critical/other existing credit,radio/tv,3371.0,<100,unemployed,4,female div/dep/mar,none,2,car,37,none,rent,2,skilled,2,yes,no,bad
9,no checking,17,critical/other existing credit,education,1010.0,>=1000,1<=X<4,1,female div/dep/mar,none,4,life insurance,27,none,rent,3,skilled,2,none,no,bad
10,no checking,41,no credits/all paid,education,9177.0,<100,>=7,2,female div/dep/mar,none,4,car,47,none,rent,2,skilled,2,none,no,bad
11,no checking,18,critical/other existing credit,domestic appliance,1315.0,no known savings,4<=X<7,4,female div/dep/mar,none,4,life insurance,20,none,for free,2,skilled,2,none,no,good
12,>=200,7,no credits/all paid,repairs,1124.0,100<=X<500,>=7,4,female div/dep/mar,none,2,car,20,none,rent,3,skilled,2,none,no,bad
13,no checking,8,delayed previously,used car,2076.0,no known savings,unemployed,4,female div/dep/mar,none,1,car,54,none,rent,2,skilled,2,none,no,good
14,<0,8,no credits/all paid,used car,2060.0,<100,>=7,3,female div/dep/mar,none,2,life insurance,30,none,rent,2,skilled,2,none,no,good
15,>=200,9,critical/other existing credit,new car,975.0,<100,1<=X<4,1,female div/dep/mar,none,3,real estate,20,none,rent,2,skilled,2,none,no,bad
16,<0,34,critical/other existing credit,furniture/equipment,5609.0,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,33,none,rent,3,skilled,2,none,no,bad
17,<0,19,delayed previously,business,1746.0,<100,1<=X<4,1,female div/dep/mar,none,1,life insurance,20,none,rent,2,skilled,2,none,no,bad
18,no checking,9,delayed previously,used car,1252.0,<100,<1,3,female div/dep/mar,none,3,life insurance,53,none,rent,2,skilled,2,none,no,good
19,no checking,16,no credits/all paid,furniture/equipment,5321.0,<100,4<=X<7,1,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,2,none,no,good
20,no checking,15,no credits/all paid,repairs,865.0,500<=X<1000,4<=X<7,4,female div/dep/mar,none,3,life insurance,45,none,rent,3,skilled,2,none,no,bad
21,no checking,30,critical/other existing credit,education,541.0,<100,1<=X<4,3,female div/dep/mar,none,3,life insurance,20,none,rent,2,skilled,2,none,no,bad
22,0<=X<200,33,all paid,radio/tv,2792.0,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,25,none,for free,2,skilled,2,none,no,bad
23,no checking,14,critical/other existing credit,education,2086.0,<100,<1,4,female div/dep/mar,none,1,life insurance,33,none,rent,2,skilled,2,none,no,bad
24,0<=X<200,47,critical/other existing credit,used car,5282.0,100<=X<500,<1,4,female div/dep/mar,none,3,life insurance,36,none,for free,2,skilled,2,none,no,bad
25,no checking,9,critical/other existing credit,repairs,1655.0,>=1000,1<=X<4,4,female div/dep/mar,none,3,car,22,none,rent,2,skilled,2,none,no,bad
26,0<=X<200,18,delayed previously,furniture/equipment,2154.0,<100,<1,4,female div/dep/mar,none,4,life insurance,20,none,rent,2,skilled,2,none,no,bad
27,<0,19,critical/other existing credit,new car,1405.0,<100,1<=X<4,3,female div/dep/mar,none,1,life insurance,22,none,rent,2,skilled,2,none,no,good
28,<0,17,delayed previously,radio/tv,5036.0,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,no known property,22,none,for free,2,skilled,2,none,no,bad
29,<0,11,delayed previously,education,1801.0,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,27,none,rent,3,unskilled resident,2,none,no,good
30,0<=X<200,8,critical/other existing credit,new car,689.0,<100,1<=X<4,1,female div/dep/mar,none,1,car,27,none,rent,2,skilled,2,none,no,good
31,no checking,35,critical/other existing credit,radio/tv,4154.0,<100,1<=X<4,4,female div/dep/mar,none,3,car,28,none,rent,3,skilled,2,none,no,bad
32,<0,13,critical/other existing credit,business,3928.0,<100,>=7,1,female div/dep/mar,none,4,car,22,none,rent,2,skilled,2,none,no,good
33,<0,57,critical/other existing credit,new car,13001.0,<100,1<=X<4,1,female div/dep/mar,none,2,car,31,none,rent,2,skilled,2,none,no,good
34,no checking,7,critical/other existing credit,furniture/equipment,820.0,<100,4<=X<7,3,female div/dep/mar,none,1,car,22,none,rent,3,skilled,2,none,no,good
35,no checking,27,no credits/all paid,radio/tv,1881.0,<100,1<=X<4,4,female div/dep/mar,none,1,car,20,none,rent,3,skilled,2,none,no,good
36,<0,8,no credits/all paid,radio/tv,438.0,<100,<1,1,female div/dep/mar,none,1,car,30,none,rent,2,skilled,2,none,no,good
37,no checking,9,no credits/all paid,furniture/equipment,1827.0,<100,<1,2,female div/dep/mar,none,1,life insurance,24,none,rent,3,skilled,2,none,no,bad
38,no checking,19,critical/other existing credit,repairs,8973.0,<100,>=7,1,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,2,none,no,bad
39,no checking,15,critical/other existing credit,radio/tv,3264.0,<100,1<=X<4,1,female div/dep/mar,none,3,no known property,34,none,rent,2,skilled,2,none,no,good
40,>=200,7,critical/other existing credit,repairs,933.0,<100,4<=X<7,1,female div/dep/mar,none,1,car,31,none,rent,3,skilled,2,none,no,bad
41,>=200,11,no credits/all paid,domestic appliance,1854.0,no known savings,unemployed,4,female div/dep/mar,none,4,no known property,22,none,for free,3,skilled,2,none,yes,bad
42,no checking,18,critical/other existing credit,business,972.0,<100,unemployed,4,female div/dep/mar,none,1,life insurance,20,none,rent,2,skilled,2,none,no,good
43,no checking,7,no credits/all paid,new car,878.0,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,20,none,rent,3,skilled,2,none,no,good
44,>=200,26,no credits/all paid,new car,2530.0,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,21,none,rent,3,skilled,2,none,no,good
45,0<=X<200,22,no credits/all paid,furniture/equipment,8779.0,<100,unemployed,1,female div/dep/mar,none,4,car,21,none,rent,3,skilled,2,none,no,bad
46,<0,38,no credits/all paid,education,2895.0,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,22,none,rent,2,skilled,2,none,no,bad
47,>=200,38,delayed previously,furniture/equipment,2700.0,<100,unemployed,3,female div/dep/mar,none,3,car,38,none,rent,3,skilled,2,none,no,bad
